original_url;shortened_url
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0kEbeWnssvcEUGjggW6v5N6wgZ29mtpDdArnYYPevjtT67HtSUAzCuihTTUUbvjKql;https://tinyurl.com/TVTS2024-035
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0koubhqiEv9ZhTxV4hcc3xhPf5BZUr1oJ1DjjiYWL5tGyLrapF6FiWVUHhxX2tWyml;https://tinyurl.com/TVTS2024-036
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0cMSpQ8UbHgToLD6zPoCZsdowqL5RFFCTgvx4czhRC28k93XvuhYUMnANouvVT2i4l;https://tinyurl.com/TVTS2024-037
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid035ipBRvHjYs2K5vxpCGjsN9ibXLD9aUgPacEhQcDDKDG7cynUcw7meH3dMfNrgd8Nl;https://tinyurl.com/TVTS2024-038
https://www.facebook.com/share/p/GvKETGwsGoHaqn3R/?mibextid=oFDknk;https://tinyurl.com/TVTS2024-039
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid08Vnv4LCxfjnb7gPtJCCnob9ptVTnUQqxaQuFGhMG6Yd4w42kduLtE6GJkwG4Kai9l;https://tinyurl.com/TVTS2024-040
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid034fYmyvoUFbftn3pNT4K2m5mgiJS7BeHLJ8ZvwSEfYLmqFWMQCS8Q16U3vjzbRr8El;https://tinyurl.com/TVTS2024-041
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02HaHzXQXNkLL7Q947rE29vFeuiQfXQqaTB8fMPF8PbTCEMq3SHrU8yFWCoVKceqnKl;https://tinyurl.com/TVTS2024-042
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid026jgWqnq2QnLd6YUeHKykWH1cPKsVzZAxDUKwvsFr8ePSdNre3A6sfwynk9J8QMscl;https://tinyurl.com/TVTS2024-043
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid06REDnwNn9LpBADduhpYJmiZGKm757twfz3Fbr7Dy8iczzF82KEo7JFLTrsZAe6h5l;https://tinyurl.com/TVTS2024-044
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02tRzqxxQtA4mB2AyGB34BPYrhi5N9uPay2oq4vWAGWmjzujUtMstftqUht8VdCiRBl;https://tinyurl.com/TVTS2024-045
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0t3wNg1DUDd4XqRhcJpMd8Dfs8Nn5zTag1MHkyQrLm5ZaFSGGC2QAtaeP3mz2eKmWl;https://tinyurl.com/TVTS2024-046
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02XjzraWfUurBMXoHaLe3Z2W7AyRY9H1S7HbtZ4jkSqdqGfMUtJgsqw1YoVzx8mdPxl;https://tinyurl.com/TVTS2024-047
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0Cj64qw466V8Pc1yWvoocchnPNeYW8vG9viVotN5gtuuwBRa8GTDwmsxVAmvfDVphl;https://tinyurl.com/TVTS2024-048
https://www.facebook.com/share/p/b5yQ8rz5nBtPKcLY/;https://tinyurl.com/TVTS2024-049
https://www.facebook.com/share/p/KhKbu1ons2wQHRAR/?mibextid=oFDknk;https://tinyurl.com/TVTS2024-050
https://www.facebook.com/photo/?fbid=778386781072321&set=pb.100067030188993.-2207520000;https://tinyurl.com/TVTS2024-051
https://www.facebook.com/photo/?fbid=780613227516343&set=pb.100067030188993.-2207520000;https://tinyurl.com/TVTS2024-052
https://www.facebook.com/share/p/c8xMnLdZPoQTX6GX/;https://tinyurl.com/TVTS2024-053
https://www.facebook.com/share/v/fSzYaGCzoSAFZH9Z/?mibextid=oFDknk;https://tinyurl.com/TVTS2024-054
https://www.facebook.com/share/p/CRe4dvAoZchixSCP/?mibextid=oFDknk;https://tinyurl.com/TVTS2024-055
https://www.facebook.com/TVTS.UET.VNU/videos/1937702426659853;https://tinyurl.com/TVTS2024-056
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid037Ac4TBUDW6hw3Lz8oWSvug2ioYxzjfvuTvSBEgTcn1UQFdBiQrbs2Xu1m5XXsq9al;https://tinyurl.com/TVTS2024-057
https://www.facebook.com/share/p/pLkN8sWadtGaL3uZ/;https://tinyurl.com/TVTS2024-058
https://www.facebook.com/share/p/ZJ5RaTkDehhAe7eA/;https://tinyurl.com/TVTS2024-059
https://www.facebook.com/share/p/yp3cLxwe232uzpRd/;https://tinyurl.com/TVTS2024-060
https://www.facebook.com/share/p/Xzfdyyzw3RCPTXCH/?mibextid=oFDknk;https://tinyurl.com/TVTS2024-061
https://fb.watch/tlVrUuWMBX/;https://tinyurl.com/TVTS2024-062
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0dxkPbuJyzxd8eAH6RxkFGk1P8gkXJd7A4rfZ37grVtR9jMWCoN1BvR2YumsndWsLl;https://tinyurl.com/TVTS2024-063
https://fb.watch/tlVnHN5GwS/;https://tinyurl.com/TVTS2024-064
https://www.facebook.com/share/v/KGdPkbcLLnE7cEDd/;https://tinyurl.com/TVTS2024-065
https://www.facebook.com/share/p/1ohE4pUvFov5rezg/;https://tinyurl.com/TVTS2024-066
https://www.facebook.com/share/p/Pwuyhe6RytxadgGD/;https://tinyurl.com/TVTS2024-067
https://www.facebook.com/share/p/g5eDLd27bVTRyNAp/;https://tinyurl.com/TVTS2024-068
https://www.facebook.com/share/p/AbqVNxnHjyn1nHcA/;https://tinyurl.com/TVTS2024-069
https://www.facebook.com/share/p/DN9rgLFGfNYR9jgs/;https://tinyurl.com/TVTS2024-070
https://www.facebook.com/share/p/GZx6dhcECseqHoiG/;https://tinyurl.com/TVTS2024-071
https://www.facebook.com/share/p/xADW2q1P3YEw9FW2/;https://tinyurl.com/TVTS2024-072
https://www.facebook.com/share/p/KoxsyqM5iUGKcNEJ/;https://tinyurl.com/TVTS2024-073
https://www.facebook.com/share/p/1Dk2tSzGxEp3v6EY/;https://tinyurl.com/TVTS2024-074
